Ambient Air Quality Monitored at Sion,,,,,,,
Location :Sion Hospital,Program Name :CAAQMS,Status:In operation,Frequency:Continuous Monitoring,Type :Residential,,,
Concentration of Air Pollutants,,,,,,,
Sr.No.,Date,SO2,NOx,RSPM,,,
,,µg/m3,µg/m3,µg/m3,,,
Standards,,80,80,100,,source: ,http://mpcb.gov.in/index.php
January,,,,,,BDL: Below Detectable Level,
1,01-01-2015,BDL - 2,55,379,,,
2,02-01-2015,8,153,122,,Weather prediction rules,
3,05-01-2015,15,115,100,,HIGH ,Weather condition
4,06-01-2015,28,145,91,,SO2,"Poor visibility, chance of acid rain"
5,07-01-2015,16,167,84,,NOx,"Hot, dry and smogy"
6,08-01-2015,23,139,122,,RSPM,"  smogy, lots of dust and fly ash "
7,09-01-2015,11,167,87,,,
8,11-01-2015,4,124,191,,,
9,13-01-2015,16,169,139,,,
10,14-01-2015,29,136,158,,,
11,15-01-2015,17,115,156,,,
12,16-01-2015,30,161,150,,,
13,18-01-2015,5,70,124,,,
14,19-01-2015,13,112,148,,,
15,20-01-2015,10,121,88,,,
16,21-01-2015,7,119,53,,,
17,22-01-2015,19,130,112,,,
18,23-01-2015,5,153,92,,,
19,25-01-2015,8,87,158,,,
20,27-01-2015,BDL - 2,118,113,,,
21,29-01-2015,8,100,146,,,
February,,,,,,,
22,01-02-2015,BDL - 3,93,116,,,
23,02-02-2015,9,117,116,,,
24,03-02-2015,17,127,116,,,
25,04-02-2015,21,160,101,,,
26,05-02-2015,14,137,164,,,
27,06-02-2015,25,134,144,,,
28,08-02-2015,18,11,159,,,
29,09-02-2015,12,144,164,,,
30,10-02-2015,15,115,135,,,
31,11-02-2015,8,87,125,,,
32,13-02-2015,5,112,102,,,
33,15-02-2015,14,103,166,,,
34,16-02-2015,4,112,107,,,
35,17-02-2015,4,83,157,,,
36,18-02-2015,6,114,159,,,
37,19-02-2015,BDL - 2,55,94,,,
38,20-02-2015,13,125,187,,,
39,22-02-2015,BDL - 1,86,172,,,
40,23-02-2015,BDL - 3,65,99,,,
41,24-02-2015,BDL - 2,128,167,,,
42,25-02-2015,BDL - 2,135,186,,,
43,26-02-2015,BDL - 2,109,174,,,
44,27-02-2015,4,20,159,,,
March,,,,,,,
45,01-03-2015,4,19,88,,,
46,02-03-2015,6,22,135,,,
47,03-03-2015,4,23,135,,,
48,04-03-2015,5,47,125,,,
49,12-03-2015,9,129,116,,,
50,13-03-2015,10,166,131,,,
51,15-03-2015,8,171,137,,,
52,16-03-2015,11,121,150,,,
53,17-03-2015,10,154,110,,,
54,19-03-2015,8,189,169,,,
55,20-03-2015,5,122,134,,,
56,22-03-2015,6,120,168,,,
57,23-03-2015,5,118,139,,,
58,24-03-2015,10,111,110,,,
59,25-03-2015,10,133,128,,,
60,26-03-2015,9,127,138,,,
61,27-03-2015,12,116,57,,,
62,29-03-2015,10,77,59,,,
63,30-03-2015,11,138,148,,,
64,31-03-2015,10,56,105,,,
April,,,,,,,
65,01-04-2015,10,87,121,,,
66,02-04-2015,6,108,83,,,
67,03-04-2015,7,53,84,,,
68,05-04-2015,16,93,109,,,
69,06-04-2015,6,76,292,,,
70,07-04-2015,6,92,154,,,
71,08-04-2015,9,93,190,,,
72,09-04-2015,11,84,255,,,
73,10-04-2015,7,78,189,,,
74,12-04-2015,9,37,115,,,
75,13-04-2015,5,80,239,,,
76,15-04-2015,BDL - 2,91,156,,,
77,16-04-2015,6,135,187,,,
78,17-04-2015,4,81,300,,,
79,19-04-2015,9,95,83,,,
80,20-04-2015,6,100,151,,,
81,21-04-2015,5,90,129,,,
82,22-04-2015,9,88,106,,,
83,23-04-2015,10,93,151,,,
84,24-04-2015,6,106,189,,,
85,26-04-2015,10,68,199,,,
86,27-04-2015,20,105,298,,,
87,28-04-2015,19,64,230,,,
88,29-04-2015,17,70,274,,,
89,30-04-2015,11,82,187,,,
May,,,,,,,
90,03-05-2015,10,94,322,,,
91,05-05-2015,9,61,177,,,
92,06-05-2015,14,100,198,,,
93,07-05-2015,13,81,180,,,
94,08-05-2015,10,85,221,,,
95,10-05-2015,11,89,221,,,
96,11-05-2015,26,86,314,,,
97,12-05-2015,16,76,198,,,
98,13-05-2015,9,84,105,,,
99,14-05-2015,11,80,140,,,
100,15-05-2015,14,81,147,,,
101,18-05-2015,13,101,144,,,
102,19-05-2015,15,90,137,,,
103,20-05-2015,14,86,229,,,
104,21-05-2015,10,109,175,,,
105,22-05-2015,BDL - 2,78,143,,,
106,24-05-2015,BDL - 2,40,158,,,
107,25-05-2015,4,53,131,,,
108,26-05-2015,10,75,112,,,
109,27-05-2015,12,67,125,,,
110,28-05-2015,13,71,106,,,
111,29-05-2015,10,75,150,,,
112,31-05-2015,10,43,143,,,
June,,,,,,,
113,01-06-2015,9,123,207,,,
114,02-06-2015,10,75,125,,,
115,03-06-2015,13,89,81,,,
116,04-06-2015,13,89,91,,,
117,05-06-2015,13,104,79,,,
118,07-06-2015,11,89,164,,,
119,08-06-2015,12,116,124,,,
120,09-06-2015,11,86,182,,,
121,10-06-2015,10,114,84,,,
122,11-06-2015,10,105,117,,,
123,12-06-2015,10,97,67,,,
124,14-06-2015,12,81,75,,,
125,15-06-2015,11,79,69,,,
126,16-06-2015,14,74,81,,,
127,17-06-2015,11,128,70,,,
128,18-06-2015,14,99,23,,,
129,22-06-2015,13,75,26,,,
130,25-06-2015,16,56,157,,,
131,26-06-2015,17,86,172,,,
132,28-06-2015,18,48,72,,,
133,29-06-2015,17,67,104,,,
134,30-06-2015,13,26,93,,,
July,,,,,,,
135,01-07-2015,21,68,56,,,
136,02-07-2015,27,63,73,,,
137,03-07-2015,24,85,128,,,
138,05-07-2015,18,53,130,,,
139,06-07-2015,33,45,59,,,
140,07-07-2015,6,42,73,,,
141,08-07-2015,BDL - 3,64,49,,,
142,09-07-2015,4,43,24,,,
143,10-07-2015,BDL - 2,36,58,,,
144,12-07-2015,BDL - 2,45,143,,,
145,13-07-2015,4,81,296,,,
146,14-07-2015,22,51,83,,,
147,15-07-2015,28,51,82,,,
148,16-07-2015,27,56,56,,,
149,17-07-2015,24,33,41,,,
150,19-07-2015,17,35,29,,,
151,20-07-2015,16,81,57,,,
152,22-07-2015,22,86,52,,,
153,23-07-2015,20,23,29,,,
154,24-07-2015,7,59,39,,,
155,26-07-2015,5,82,41,,,
156,27-07-2015,5,19,37,,,
157,28-07-2015,9,65,31,,,
158,29-07-2015,23,58,52,,,
159,30-07-2015,24,74,55,,,
160,31-07-2015,20,56,83,,,
August,,,,,,,
161,02-08-2015,15,43,52,,,
162,03-08-2015,13,65,60,,,
163,04-08-2015,23,76,99,,,
164,05-08-2015,17,101,108,,,
165,06-08-2015,20,88,135,,,
166,07-08-2015,22,47,148,,,
167,09-08-2015,10,84,112,,,
168,10-08-2015,19,108,40,,,
169,11-08-2015,18,69,67,,,
170,12-08-2015,14,77,93,,,
171,13-08-2015,19,30,81,,,
172,14-08-2015,13,71,95,,,
173,16-08-2015,12,71,57,,,
174,17-08-2015,16,70,61,,,
175,18-08-2015,9,57,128,,,
176,19-08-2015,17,51,87,,,
177,20-08-2015,15,45,150,,,
178,21-08-2015,19,71,66,,,
179,23-08-2015,17,46,116,,,
180,24-08-2015,24,75,135,,,
181,25-08-2015,21,66,86,,,
182,27-08-2015,12,83,52,,,
183,28-08-2015,18,86,112,,,
184,30-08-2015,12,42,64,,,
185,31-08-2015,16,70,91,,,
September,,,,,,,
186,01-09-2015,18,60,102,,,
187,02-09-2015,20,79,153,,,
188,03-09-2015,13,62,84,,,
189,04-09-2015,17,72,79,,,
190,06-09-2015,21,77,62,,,
191,07-09-2015,14,109,151,,,
192,08-09-2015,16,105,153,,,
193,09-09-2015,20,78,97,,,
194,10-09-2015,13,85,145,,,
195,11-09-2015,20,90,81,,,
196,13-09-2015,18,83,141,,,
197,14-09-2015,15,103,101,,,
198,15-09-2015,11,62,27,,,
199,16-09-2015,14,47,103,,,
200,17-09-2015,11,73,103,,,
201,18-09-2015,15,72,85,,,
202,20-09-2015,13,76,60,,,
203,21-09-2015,11,51,169,,,
204,22-09-2015,10,61,123,,,
205,23-09-2015,14,58,49,,,
206,24-09-2015,13,64,50,,,
207,25-09-2015,12,61,59,,,
208,27-09-2015,20,54,128,,,
209,28-09-2015,6,98,154,,,
210,29-09-2015,8,93,171,,,
211,30-09-2015,7,144,172,,,
October,,,,,,,
212,01-10-2015,17,119,159,,,
213,02-10-2015,17,85,200,,,
214,04-10-2015,29,105,165,,,
215,05-10-2015,13,92,77,,,
216,06-10-2015,5,155,152,,,
217,08-10-2015,15,58,118,,,
218,09-10-2015,13,62,56,,,
219,11-10-2015,15,68,65,,,
220,12-10-2015,14,114,72,,,
221,13-10-2015,13,76,105,,,
222,14-10-2015,17,116,136,,,
223,15-10-2015,17,82,145,,,
224,16-10-2015,14,94,155,,,
225,18-10-2015,17,115,121,,,
226,19-10-2015,19,113,121,,,
227,20-10-2015,14,95,195,,,
228,21-10-2015,15,93,182,,,
229,22-10-2015,13,83,156,,,
230,23-10-2015,28,90,71,,,
231,25-10-2015,14,73,72,,,
232,26-10-2015,16,107,100,,,
233,27-10-2015,12,49,93,,,
234,28-10-2015,14,101,69,,,
235,29-10-2015,13,102,92,,,
236,30-10-2015,13,88,92,,,
November,,,,,,,
237,01-11-2015,14,89,148,,,
238,02-11-2015,14,70,134,,,
239,03-11-2015,15,75,159,,,
240,04-11-2015,11,76,90,,,
241,05-11-2015,13,83,91,,,
242,06-11-2015,14,108,140,,,
243,08-11-2015,10,72,199,,,
244,10-11-2015,14,84,158,,,
245,11-11-2015,17,67,177,,,
246,12-11-2015,17,85,231,,,
247,13-11-2015,15,72,199,,,
248,15-11-2015,16,111,237,,,
249,16-11-2015,14,67,184,,,
250,17-11-2015,17,78,228,,,
251,18-11-2015,17,102,208,,,
252,27-11-2015,14,102,166,,,
253,29-11-2015,11,109,160,,,
254,30-11-2015,12,107,164,,,
December,,,,,,,
255,01-12-2015,11,39,34,,,
256,02-12-2015,10,53,137,,,
257,03-12-2015,6,68,141,,,
258,05-12-2015,11,76,29,,,
259,06-12-2015,11,99,162,,,
260,07-12-2015,10,63,180,,,
261,08-12-2015,10,98,207,,,
262,09-12-2015,41,142,241,,,
263,10-12-2015,12,81,245,,,
264,11-12-2015,10,110,233,,,
265,13-12-2015,11,111,219,,,
266,14-12-2015,10,76,195,,,
267,15-12-2015,17,77,149,,,
268,16-12-2015,13,111,167,,,
269,17-12-2015,13,90,264,,,
270,18-12-2015,14,102,193,,,
271,21-12-2015,30,128,160,,,
272,22-12-2015,12,88,154,,,
273,23-12-2015,35,74,218,,,
274,24-12-2015,27,57,205,,,
275,25-12-2015,21,114,171,,,
276,28-12-2015,18,40,135,,,
277,29-12-2015,23,39,185,,,
278,30-12-2015,34,77,206,,,
January,,,,,,,
279,01-01-2016,12,86,203,,,
280,03-01-2016,15,72,223,,,
281,04-01-2016,12,57,219,,,
282,05-01-2016,15,99,180,,,
283,06-01-2016,13,97,137,,,
284,07-01-2016,13,99,180,,,
285,08-01-2016,13,92,231,,,
286,10-01-2016,19,64,212,,,
287,11-01-2016,14,101,187,,,
288,12-01-2016,12,89,174,,,
289,13-01-2016,11,90,156,,,
290,14-01-2016,11,87,182,,,
291,15-01-2016,12,110,162,,,
292,17-01-2016,26,92,179,,,
293,18-01-2016,25,84,215,,,
294,19-01-2016,18,105,374,,,
295,20-01-2016,31,118,218,,,
296,21-01-2016,21,72,139,,,
297,22-01-2016,10,64,202,,,
298,24-01-2016,10,79,192,,,
299,25-01-2016,9,74,220,,,
300,27-01-2016,10,57,250,,,
301,28-01-2016,11,78,292,,,
302,29-01-2016,14,84,138,,,
303,31-01-2016,11,95,236,,,
February,,,,,,,
304,01-02-2016,13,95,174,,,
305,02-02-2016,11,88,257,,,
306,03-02-2016,14,101,194,,,
307,04-02-2016,14,113,117,,,
308,05-02-2016,9,88,188,,,
309,07-02-2016,34,144,132,,,
310,08-02-2016,12,100,102,,,
311,09-02-2016,11,101,232,,,
312,10-02-2016,12,67,251,,,
313,11-02-2016,9,89,201,,,
314,12-02-2016,11,84,223,,,
315,14-02-2016,15,89,148,,,
316,15-02-2016,12,104,255,,,
317,16-02-2016,11,86,241,,,
318,17-02-2016,9,84,223,,,
319,18-02-2016,9,79,233,,,
320,19-02-2016,13,82,325,,,
321,22-02-2016,12,78,227,,,
322,23-02-2016,11,78,195,,,
323,24-02-2016,26,119,121,,,
324,25-02-2016,13,87,132,,,
325,26-02-2016,13,102,103,,,
March,,,,,,,
326,01-03-2016,21,80,99,,,
327,02-03-2016,12,85,193,,,
328,03-03-2016,10,68,135,,,
329,06-03-2016,11,75,179,,,
330,07-03-2016,12,89,215,,,
331,08-03-2016,12,79,191,,,
332,09-03-2016,12,90,175,,,
333,10-03-2016,12,76,152,,,
334,11-03-2016,11,102,157,,,
335,13-03-2016,14,113,212,,,
336,14-03-2016,11,75,261,,,
337,15-03-2016,11,77,216,,,
338,17-03-2016,10,84,189,,,
339,18-03-2016,8,69,238,,,
340,20-03-2016,9,71,261,,,
341,21-03-2016,13,81,233,,,
342,22-03-2016,16,66,224,,,
343,23-03-2016,23,82,179,,,
344,25-03-2016,22,74,250,,,
345,27-03-2016,13,64,186,,,
346,28-03-2016,13,83,189,,,
347,29-03-2016,15,81,177,,,
348,31-03-2016,12,79,277,,,
April,,,,,,,
349,01-04-2016,14,103,329,,,
350,03-04-2016,8,150,285,,,
351,07-04-2016,17,106,328,,,
352,08-04-2016,7,95,209,,,
353,10-04-2016,6,97,274,,,
354,11-04-2016,20,218,244,,,
355,12-04-2016,20,126,166,,,
356,13-04-2016,7,95,195,,,
357,14-04-2016,7,95,195,,,
358,15-04-2016,7,61,256,,,
359,24-04-2016,16,106,202,,,
360,25-04-2016,18,102,224,,,
361,26-04-2016,15,59,180,,,
362,27-04-2016,15,83,202,,,
363,28-04-2016,8,83,295,,,
364,29-04-2016,13,86,308,,,
May,,,,,,,
365,01-05-2016,10,82,122,,,
366,02-05-2016,12,58,227,,,
367,03-05-2016,8,109,125,,,
368,04-05-2016,8,73,133,,,
369,05-05-2016,9,79,208,,,
370,06-05-2016,8,74,200,,,
371,08-05-2016,11,38,59,,,
372,09-05-2016,10,53,151,,,
373,10-05-2016,8,61,114,,,
374,11-05-2016,10,65,106,,,
375,12-05-2016,8,64,148,,,
376,15-05-2016,6,52,150,,,
377,16-05-2016,6,87,207,,,
378,17-05-2016,6,58,137,,,
379,18-05-2016,8,61,137,,,
380,19-05-2016,7,70,102,,,
381,20-05-2016,9,60,219,,,
382,22-05-2016,6,15,139,,,
383,24-05-2016,5,27,139,,,
384,25-05-2016,6,32,117,,,
385,26-05-2016,7,59,121,,,
386,27-05-2016,6,60,157,,,
387,29-05-2016,6,78,125,,,
June,,,,,,,
388,02-06-2016,6,54,150,,,
389,03-06-2016,8,109,125,,,
390,08-06-2016,15,40,148,,,
391,09-06-2016,12,44,123,,,
392,12-06-2016,6,29,109,,,
393,14-06-2016,10,57,104,,,
394,15-06-2016,11,65,59,,,
395,16-06-2016,8,47,142,,,
396,19-06-2016,6,52,146,,,
397,20-06-2016,9,68,211,,,
398,21-06-2016,7,79,120,,,
399,22-06-2016,7,80,74,,,
400,23-06-2016,7,90,89,,,
401,26-06-2016,6,83,76,,,
402,27-06-2016,8,87,75,,,
403,28-06-2016,7,69,65,,,
404,29-06-2016,8,81,70,,,
405,30-06-2016,9,70,71,,,
July,,,,,,,
406,03-07-2016,6,63,74,,,
407,04-07-2016,5,53,88,,,
408,05-07-2016,6,61,106,,,
409,06-07-2016,6,52,124,,,
410,07-07-2016,5,59,115,,,
411,08-07-2016,4,35,75,,,
412,11-07-2016,7,52,146,,,
413,12-07-2016,7,64,175,,,
414,13-07-2016,6,39,89,,,
415,14-07-2016,7,48,50,,,
416,15-07-2016,7,39,103,,,
417,17-07-2016,6,53,118,,,
418,18-07-2016,7,42,67,,,
419,20-07-2016,8,63,89,,,
420,21-07-2016,7,60,72,,,
421,22-07-2016,6,26,77,,,
422,24-07-2016,8,46,44,,,
423,25-07-2016,9,64,108,,,
August,,,,,,,
424,01-08-2016,8,70,89,,,
425,02-08-2016,10,75,53,,,
426,07-08-2016,13,40,68,,,
427,08-08-2016,7,23,67,,,
428,09-08-2016,7,30,71,,,
429,10-08-2016,6,22,58,,,
430,12-08-2016,6,31,45,,,
431,14-08-2016,6,44,57,,,
432,17-08-2016,6,31,105,,,
433,18-08-2016,6,32,93,,,
